央视,#genre#
CCTV-4K 超清,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000266303.m3u8
CCTV-8K 超清,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2020603421.m3u8
CCTV-01 综合,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV-02 财经,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-03 综艺,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV-04 国际,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV-05 体育,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV-5+ 赛事,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV-06 电影,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV-07 军事,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV-08 电视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV-09 纪录,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV-10 科教,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV-11 戏曲,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV-12 社会,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV-13 新闻,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV-14 少儿,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV-15 音乐,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV-16 超清,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012492303.m3u8
CCTV-16 奥林,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012375003.m3u8
CCTV-17 农业,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204203.m3u8
CGTN,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2001656803.m3u8$英语
CGTN,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010153503.m3u8$法语
CGTN,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010152603.m3u8$俄语
CGTN,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010155203.m3u8$阿语
CGTN,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010152503.m3u8$西语
CGTN-Doc,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010155403.m3u8

央数,#genre#
CCTV-电视指南,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514003.m3u8
CCTV-第一剧场,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514403.m3u8
CCTV-风云剧场,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513603.m3u8
CCTV-怀旧剧场,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012511203.m3u8
CCTV-世界地理,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513303.m3u8
CCTV-风云音乐,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514103.m3u8
CCTV-兵器科技,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV-风云足球,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514203.m3u8
CCTV-高夫网球,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012512503.m3u8
CCTV-女性时尚,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513903.m3u8
